id,total
HTI,54
SYR,46
BOL,37
SDN,34
IRQ,34
PRY,28
EGY,28
CZE,24
DOM,24
ARG,23
CUB,20
SLE,19
BDI,19
THA,19
LBR,18
AFG,18
COD,17
GTM,17
TCD,17
TOGO,17
ETH,16
KHM,16
PAN,16
NGA,15
BEN,15
COM,15
GHA,15
MRT,14
PHL,14
GNB,13
DZA,13
GRC,12
IRN,12
UGA,12
IDN,12
LAO,12
AZE,11
ECU,11
VNM,11
GIN,11
SUR,11
MAR,10
TUN,10
CAF,10
PER,10
VEN,10
BGD,10
CIV,9
MLI,9
PRT,9
PAK,9
BFA,9
HND,9
LSO,9
MMR,9
NPL,8
POL,8
HUN,8
MDG,8
SLV,8
CHL,7
NER,7
KOR,7
NIC,7
SOM,7
YE,12
LBY,7
ZMB,6
BRA,6
CRI,6
TZA,6
ITA,6
FRA,6
TUR,6
JOR,6
SWZ,5
CHN,5
TJK,5
FJI,4
GRD,4
URY,4
ROU,4
MYS,4
MDV,4
GNQ,4
ESP,4
ALB,4
GMB,4
BGR,4
GER,4
MEX,3
IND,3
LBN,3
RUS,3
COL,3
ZWE,3
GUY,3
GEO,3
RWA,3
QAT,3
LKA,2
MNG,2
OMN,2
AGO,2
GAB,2
CYP,2
BHR,2
KEN,2
MWI,2
TTO,2
KG,2
MOZ,2
LUX,2
PRK,2
PNG,1
TKM,1
ZAF,1
FIN,1
USA,1
SRB,1
CMR,1
ARE,1
SAU,1
JAM,1
SEN,1
